date,portfolio_value,spy_value,daily_return
2026-06-11,10064.97,10169.97,0.006497
2026-06-12,10074.97,10224.97,0.000993
2026-06-15,10136.75,10405.28,0.006132
2026-06-16,10123.74,10343.25,-0.001284
2026-06-17,9944.56,10214.08,-0.017698
2026-06-18,10018.63,10320.28,0.007448
2026-06-22,10045.61,10287.8,0.002693
2026-06-23,10049.88,10138.4,0.000425
2026-06-24,10037.74,10133.7,-0.001207
2026-06-25,10009.22,10148.35,-0.002842
2026-06-26,10261.44,10074.96,0.025198
2026-06-29,10232.69,10240.95,-0.002802
2026-06-30,10277.74,10320.69,0.004403
2026-07-01,10431.66,10306.73,0.014976
2026-07-02,10556.84,10293.19,0.012
2026-07-06,10453.86,10383.02,-0.009754
2026-07-07,10556.99,10333.68,0.009865
2026-07-08,10469.0,10301.76,-0.008335
2026-07-09,10543.92,10388.96,0.007156
2026-07-10,10518.87,10433.74,-0.002376
2026-07-13,10514.59,10353.86,-0.000407
2026-07-14,10427.4,10390.62,-0.008292
2026-07-15,10467.51,10431.81,0.003846
2026-07-16,10644.79,10375.28,0.016937
2026-07-17,10619.69,10272.6,-0.002358
2026-07-20,10551.3,10256.01,-0.006439
2026-07-21,10600.43,10341.56,0.004656
2026-07-22,10529.64,10329.54,-0.006678
2026-07-23,10426.62,10201.97,-0.009784
2026-07-24,10561.49,10212.34,0.012934
2026-07-27,10620.85,10214.55,0.005621
2026-07-28,10785.15,10239.01,0.01547
2026-07-29,10733.56,10081.46,-0.004783
